Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km
Agape Little Uni. @ Gambas Pte Ltd,1.4434524,103.8155447,5.559111221210924e-05
Agape Little Uni Thomson Centre,1.3584677,103.8336641,9.662088452864001
Agape Little Uni Seng Kang Eastway Centre,1.3929689,103.89061,10.056747044636428
Agape Little Uni Jurong West Centre,1.3522634,103.7041188,16.007345840392606
Agape Little Uni Commonwealth Centre,1.3036352,103.7964301,15.691454730689518
Agape Little Uni @ Upper Serangoon Pte Ltd,1.3766934,103.9017568,12.122125723922608
Agape Little Uni @ Kallang Pte Ltd,1.3126401,103.8725732,15.867047093598503
Agape Little Uni @ Clementi Pte Ltd,1.311906,103.76596,15.631333357954112
Agape Little Uni @ Cecil Pte Ltd,1.2810808,103.8493336,18.441412931315305
Agape Child Care (CCK) Pte Ltd,1.3958553,103.7488747,9.106889049827135
Adventure Tree Preschool - Holland,1.3137507,103.7831856,14.863959280930928
Active Learners Enterprise,1.334023,103.738849,14.857542049765115
Acekidz @ SG Pte Ltd (Yishun),1.4323761,103.843223,3.3140282905211813
Ace @ Work Childcare Pte Ltd (CCK 757),1.3929385,103.745978,9.55773041077776
Ace @ Work Childcare Pte Ltd (Cashew Heights),1.3734927,103.767568,9.431732496598755
Ace @ Work Childcare Pte Ltd (703 Choa Chu Kang St 53),1.3913204,103.7462216,9.642912769759901
Ace @ Work Childcare (M1 @ IBP),1.3248234,103.7503789,15.049109201564452
Ace @ Work Childcare (JE288B),1.339146,103.7427873,14.13982523471163
Aaytozee Learning Cove,1.3575791,103.7601008,11.364957794157755
Aaytozee @ Hillview,1.358662,103.761842,11.159246966105448
7oaks Preschool - Pasir Ris St. 11,1.3670936,103.9521046,17.393357293758037
7oaks Preschool - Jurong St. 81,1.3442501,103.6911833,17.685829890313563
7oaks Preschool - Bukit Batok,1.3475536,103.7682225,11.890369089127026
Active Learners,1.4299657,103.7752359,4.72504179792585
Agape Little Uni. @ Compassvale Pte Ltd,1.3969474,103.8962229,10.352243326552536
Al - Ansar Mosque Kindergarten,1.3269062,103.9266096,17.898949044686205
Al-Amin Education Pte Ltd,1.3630113,103.9534981,17.753045095461154
Aljunied - Hougang PAP Community Foundation Education Centre,1.3708138,103.8809316,10.865933180976144
Ang Mo Kio Methodist Preschool,1.3671794,103.8354583,8.765243263205978
Ang Mo Kio Social Service Child Development Centre,1.369255,103.8381525,8.624588411261264
Apricot Academy (Laguna) Pte Ltd,1.310052,103.932002,19.68808389949175
Awwa Ltd (Kindle Garden Preschool),1.2874197,103.815117,17.35006538761854
Baby Elk Infant Care Singapore,1.3865537,103.8449822,7.122932802216317
Bedok Methodist Preschool SPARK Certification,1.3240103,103.9541411,20.34107189004356
Bethesda (Ang Mo Kio) Kindergarten,1.3745994,103.8374405,8.033634152109805
Bethesda (Katong) Kindergarten,1.3166814,103.918279,18.14179676289471
Bethesda (Pasir Ris) Kindergarten,1.3678222,103.9645428,18.575494010980595
Bethlehem Educare Centre (Tampines),1.3510878,103.9569326,18.77506105612201
Blossom Creative Centre (Bedok),1.3226458,103.9465536,19.812485409451494
Blossom Discovery Centre (Serangoon),1.357233,103.8678139,11.210368823467423
Blossom Fantasia Centre (Loyang),1.3614993,103.9689445,19.33434901947181
BlueTree Education (Choa Chu Kang),1.3882043,103.7470838,9.780339712079932
