Primary_key,Latitude_Longitude,Distance_Constraint,Infant_Care_Singaporean,Playgroup_Singaporean,Nursery_Singaporean,Kindergarten_Singaporean,Infant_Care_PR,Playgroup_PR,Nursery_PR,Kindergarten_PR,Education_Level,Aesthetics_Creative_Expression,Chinese,Digital_Skills,Discovery_of_the_World,English,Language_and_Literacy,Math,Moral_Education,Motor_Skill_Development,Music,Nature,Numeracy,Problem-solving_Skills,Project Work,Science,Sensory Play,Social & Emotional Development,Speech and Drama,Sports,Active Learning Curriculum,Bilingual Curriculum,Child Directed,Chinese Curriculum,Early Years Development Framework,English Curriculum,IB PYP,Inquiry Based,Integrated Curriculum,Montessori,MOE,Nurturning Early Learners Curriculum,Play-based Curriculum,Project-based Curriculum,Reggio Emilia approach,SPARK certified Curriculum,Thematic,ISteam,user_monday_drop_off,user_monday_pick_up,user_tuesday_drop_off,user_tuesday_pick_up,user_wednesday_drop_off,user_wednesday_pick_up,user_thursday_drop_off,user_thursday_pick_up,user_friday_drop_off,user_friday_pick_up,user_saturday_drop_off,user_saturday_pick_up,user_sunday_drop_off,user_sunday_pick_up,Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km,Within_Distance_Constraint,Monday_Start_Number,Monday_End_Number,Tuesday_Start_Number,Tuesday_End_Number,Wednesday_Start_Number,Wednesday_End_Number,Thursday_Start_Number,Thursday_End_Number,Friday_Start_Number,Friday_End_Number,Saturday_Start_Number,Saturday_End_Number,Sunday_Start_Number,Sunday_End_Number,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Within_Opening_Hours_Constraint,Location_Type,Address,Opening_Hours,Preschool_Website,Google_Website,Update_Time,Stars,Average_Stars,Sunday_Start,Sunday_End,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,preschool_brand,fees_link,fees_sc_infant_care,fees_sc_playgroup,fees_sc_nursery,fees_sc_kindergarten,fees_pr_infant_care,fees_pr_playgroup,fees_pr_nursery,fees_pr_kindergarten,Within_Fees_Constraint,txt_file_opened,found_curriculum,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,found_programme,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,found_levels,levels_infant_care,levels_playgroup,levels_nursery,levels_kindergarten,Within_Levels_Constraint,user_level
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,1.3335017,103.8871113,15.39696338932381,1,12.5,19.0,12.5,19.0,12.5,19.0,12.5,19.0,12.5,19.0,9.0,17.0,100,100,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,After school program,"601 MacPherson Rd, #02-01 Grantral Mall/Grantral Complex@Macpherson, Singapore 368242 ","Friday, 12:30 to 7pm, Saturday, 9am to 5pm, Sunday, Closed, Monday, 12:30 to 7pm, Tuesday, 12:30 to 7pm, Wednesday, 12:30 to 7pm, Thursday, 12:30 to 7pm",https://mindspace.mindchamps.org/mindspace-tai-seng-grantral-mall/?utm_source=google&utm_medium=gmb&utm_campaign=organic_gmb&utm_id=organic,"https://www.google.com/maps/place/MindSpace+@+Tai+Seng+(Grantral+Mall)+%7C+After+School+Student+Care+for+P1-P5+%7C+MindChamps+Enrichment+for+P1-P5/@1.3335017,103.8871113,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17f6ffb77539:0xfc477014ecc9b941!8m2!3d1.3335017!4d103.8871113!16s%2Fg%2F11tg2xnkpn?entry=ttu",2024-04-12 06:21:30.932231,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5.0,Closed,Closed,12:30pm,7pm,12:30pm,7pm,12:30pm,7pm,12:30pm,7pm,12:30pm,7pm,9am,5pm,0.2672222222222222,0.307878795239223,,,,0.3157618527306027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindChamps Reading Programme @ Bishan,1.3595569,103.8344894,9.512036609950487,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Educational institution,"18 Sin Ming Ln, #01-18 Midview City, Singapore 573960 ",,https://www.mindchamps.org/enrichment/our-centres/mindchamps-enrichment-academy-bishan-midview-city/,"https://www.google.com/maps/place/MindChamps+Reading+Programme+@+Bishan/@1.3595569,103.8344894,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17809ad8a8d9:0xa2e5dcfb634b7b25!8m2!3d1.3595569!4d103.8344894!16s%2Fg%2F11ty22zz6w?entry=ttu",2024-04-12 06:21:15.320106,"5, 5, 5, 5, 4, 5, 5",4.857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindChamps PreSchool @ Adda Heights,1.5451258,103.7496653,21.760934037008983,0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,100.0,100.0,100.0,100.0,100,100,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,Preschool,"238, 240, Jalan Adda 7, 81100 Johor Bahru, Johor, Malaysia ","Friday, Closed, Saturday, Closed, Sunday, Closed, Monday, 8am to 6pm, Tuesday, 8am to 6pm, Wednesday, 8am to 6pm, Thursday, 8am to 6pm",https://my.mindchamps.org/contact-us/,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Adda+Heights/@1.5451258,103.7496653,17z/data=!3m1!4b1!4m6!3m5!1s0x31da6d58626bdb0f:0x1f65501dcf91b73d!8m2!3d1.5451258!4d103.7496653!16s%2Fg%2F11h6lclht1?entry=ttu",2024-04-12 06:20:48.850990,"5, 5, 5, 5, 4, 5, 5",4.857142857142857,Closed,Closed,8am,6pm,8am,6pm,8am,6pm,8am,6pm,Closed,Closed,Closed,Closed,0.2668055555555556,0.0,,,,0.2001041666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindChamps Reading @ Punggol Northshore,1.4154673,103.8990783,18.174520081210087,1,9.0,18.5,9.0,18.5,9.0,18.5,9.0,18.5,9.0,18.5,9.0,18.5,9.0,18.5,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,Education center,"11 Northshore Dr, #01-B, Singapore 828670 ","Friday, 9am to 6:30pm, Saturday, 9am to 6:30pm, Sunday, 9am to 6:30pm, Monday, 9am to 6:30pm, Tuesday, 9am to 6:30pm, Wednesday, 9am to 6:30pm, Thursday, 9am to 6:30pm",https://www.mindchamps.org/mrw/reading-programme/,"https://www.google.com/maps/place/MindChamps+Reading+@+Punggol+Northshore/@1.4154673,103.8990783,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15732e065dd1:0xaddf028228227c15!8m2!3d1.4154673!4d103.8990783!16s%2Fg%2F11frp8m64g?entry=ttu",2024-04-12 06:20:22.876848,"5, 5, 4, 5, 5, 5, 5",4.857142857142857,9am,6:30pm,9am,6:30pm,9am,6:30pm,9am,6:30pm,9am,6:30pm,9am,6:30pm,9am,6:30pm,0.7877777777777778,0.4766666666666666,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindChamps Reading & Writing Programme @ Westgate,1.334158,103.7428434,1.8529531679105187,1,12.5,21.0,12.5,21.0,12.5,21.0,12.5,21.0,12.5,21.0,9.0,20.0,10.0,20.0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,Learning center,"3 Gateway Dr, #04-16/17 Westgate, Singapore 608532 ","Friday, 12:30 to 9pm, Saturday, 9am to 8pm, Sunday, 10am to 8pm, Monday, 12:30 to 9pm, Tuesday, 12:30 to 9pm, Wednesday, 12:30 to 9pm, Thursday, 12:30 to 9pm",http://www.mindchamps.org/,"https://www.google.com/maps/place/MindChamps+Reading+%26+Writing+Programme+@+Westgate/@1.334158,103.7428434,17z/data=!3m1!4b1!4m6!3m5!1s0x31da100fa97b1b6b:0xba81ef7a787e7021!8m2!3d1.334158!4d103.7428434!16s%2Fg%2F11c3v50sny?entry=ttu",2024-04-12 06:19:56.550534,"5, 1, 3, 2",2.75,10am,8pm,12:30pm,9pm,12:30pm,9pm,12:30pm,9pm,12:30pm,9pm,12:30pm,9pm,9am,8pm,0.2066666666666667,0.056,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindSpace @ Central Plaza (Tiong Bahru) | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,1.2864244,103.827346,11.131798373297343,1,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,9.0,18.5,100,100,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,Education center,"Central Plaza, 298 Tiong Bahru Rd, #09-05/06, 168730 ","Friday, 11am to 7pm, Saturday, 9am to 6:30pm, Sunday, Closed, Monday, 11am to 7pm, Tuesday, 11am to 7pm, Wednesday, 11am to 7pm, Thursday, 11am to 7pm",https://mindspace.mindchamps.org/contact-us/,"https://www.google.com/maps/place/MindSpace+@+Central+Plaza+(Tiong+Bahru)+%7C+After+School+Student+Care+for+P1-P5+%7C+MindChamps+Enrichment+%26+PSLE+for+P1-P6/@1.2864244,103.827346,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19625bee4519:0xa835a3d51fb731b3!8m2!3d1.2864244!4d103.827346!16s%2Fg%2F11rtrjxv3g?entry=ttu",2024-04-12 06:19:29.060062,"5, 5, 5, 5, 5",5.0,Closed,Closed,11am,7pm,11am,7pm,11am,7pm,11am,7pm,11am,7pm,9am,6:30pm,0.2024531024531024,0.2868939393939393,,,,0.2362294372294372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindChamps Reading @ Sembawang Nordcom II (Reading & Phonics Classes for Kids),1.4433502,103.8155687,12.766244474400652,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9.0,13.0,9.0,13.0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,Education center,"2 Gambas Cres, #01-26/27/40/41 Nordcom II, Singapore 757044 ","Friday, Closed, Saturday, 9am to 1pm, Sunday, 9am to 1pm, Monday, Closed, Tuesday, Closed, Wednesday, Closed, Thursday, Closed",https://api.whatsapp.com/send?phone=6583393177&text=Hello%2C%20I%20saw%20your%20google%20profile%20and%20am%20keen%20to%20register%20for%20a%20trial%20class...,"https://www.google.com/maps/place/MindChamps+Reading+@+Sembawang+Nordcom+II+(Reading+%26+Phonics+Classes+for+Kids)/@1.4433502,103.8155687,17z/data=!3m1!4b1!4m6!3m5!1s0x31da137d4e22c8a9:0x78bf66d00af0dad5!8m2!3d1.4433502!4d103.8155687!16s%2Fg%2F11tjn_31vs?entry=ttu",2024-04-12 06:19:05.744570,"5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5",4.857142857142857,9am,1pm,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,9am,1pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindChamps Reading Programme @ Sengkang,1.3818605,103.8927256,16.322230178836676,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Educational institution,"70 Compassvale Bow, #02-05 Sengkang Grand Mall, Singapore 544692 ",,https://www.mindchamps.org/enrichment/our-centres/sengkang-grand-mall/,"https://www.google.com/maps/place/MindChamps+Reading+Programme+@+Sengkang/@1.3818605,103.8927256,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17e02e96a565:0x238ea7e0372666cf!8m2!3d1.3818605!4d103.8927256!16s%2Fg%2F11kk2z37bj?entry=ttu",2024-04-12 06:18:50.446682,"5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5",4.857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindSpace @ Midview City (Bishan) | After School Student Care for P1-P5 | Powered By MindChamps,1.3586404,103.8340972,9.457164088038297,1,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,100.0,100.0,100,100,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,Education center,"18 Sin Ming Ln, #01-14 Midview City, Singapore 573960 ","Friday, 12 to 7pm, Saturday, Closed, Sunday, Closed, Monday, 12 to 7pm, Tuesday, 12 to 7pm, Wednesday, 12 to 7pm, Thursday, 12 to 7pm",https://mindspace.mindchamps.org/contact-us/,"https://www.google.com/maps/place/MindSpace+@+Midview+City+(Bishan)+%7C+After+School+Student+Care+for+P1-P5+%7C+Powered+By+MindChamps/@1.3586404,103.8340972,17z/data=!3m1!4b1!4m6!3m5!1s0x31da172604e408b7:0x4781e33e7bdf7477!8m2!3d1.3586404!4d103.8340972!16s%2Fg%2F11rtsg6l5f?entry=ttu",2024-04-12 06:18:23.470298,"5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5",4.857142857142857,Closed,Closed,12pm,7pm,12pm,7pm,12pm,7pm,12pm,7pm,12pm,7pm,Closed,Closed,0.2423789682539682,0.3139787769946688,,,,0.2820145766639989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
48:40.1,"1.3494250695437504, 103.74952398597276",20,0,0,1000,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,15,7,15,,,7,15,7,15,,,,,MindSpace @ Greenwich V (Sengkang) | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,1.3875841,103.869409,13.985974775502894,1,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,9.0,19.0,100,100,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,Education center,"1 Seletar Rd, #02-12 Greenwich V, Singapore 807011 ","Friday, 12 to 7pm, Saturday, 9am to 7pm, Sunday, Closed, Monday, 12 to 7pm, Tuesday, 12 to 7pm, Wednesday, 12 to 7pm, Thursday, 12 to 7pm",https://mindspace.mindchamps.org/contact-us/,"https://www.google.com/maps/place/MindSpace+@+Greenwich+V+(Sengkang)+%7C+After+School+Student+Care+for+P1-P5+%7C+MindChamps+Enrichment+%26+PSLE+for+P1-P6/@1.3875841,103.869409,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19440422862f:0xcdc93f8becae08f5!8m2!3d1.3875841!4d103.869409!16s%2Fg%2F11pts85c3k?entry=ttu",2024-04-12 06:17:56.868770,"5, 5, 5, 5, 5",5.0,Closed,Closed,12pm,7pm,12pm,7pm,12pm,7pm,12pm,7pm,12pm,7pm,9am,7pm,0.6486666666666666,0.4417777777777777,,,,0.5452222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
