Preschool_Name,Review_Comments
Al - Ansar Mosque Kindergarten,"""excellent"""
Agape Little Uni. @ Gambas Pte Ltd,"""Dangerous parking of Agape’s school bus just to pick up their own children and blocking the entrance of Small Wonder while preventing parents of Small Wonder from fetching their children safely. This is a selfish arrangement by Agape. Parents of children from both Agape and Small Wonder, please be mindful for the sake of your children’s safety."", ""I have never seen such a horrible school before as a parent. Management is extremely sluggish with extremely poor SOPs. I hear from my children that the teachers are constantly talking very loudly and disturbing them during their naptime. Hygiene is very poor with my child falling sick every 2 weeks. I highly recommend placing your child in other schools."", ""My girl been in the school for 2 years. She loves the school and teachers very much. The teachers there are very patient and caring which makes us feel confident that our children in good hands. The school environment also very good where classroom is nicely decorated and children can enjoy running around in the rooftop garden and in-house ball pits."""
Agape Little Uni Thomson Centre,"""My baby girl joined the centre when she was around 1yo, because my Indonesian helper injured her hand and we needed the extra help. I'm really grateful for all the help and love Agape provided for her and the family. They extended their help in applying for additional subsidy due to low income, with frequent updates on the progress and how my child was doing. The infant care was also well structured and my child grew smarter in her time there. I felt really supported in this time of difficulty. Agape was the nearest centre available to join on short notice without a waitlist of 2+ months, probably due to price, but it's really worth it."""
Agape Little Uni Seng Kang Eastway Centre,
Agape Little Uni Jurong West Centre,"""send my qiqif."""
Agape Little Uni Commonwealth Centre,
Agape Little Uni @ Upper Serangoon Pte Ltd,
Agape Little Uni @ Kallang Pte Ltd,"""Great school. My son loves it here!"", ""Very good and nice"""
Agape Little Uni @ Clementi Pte Ltd,"""Very good quite place nice position and 🔕 """
Agape Little Uni @ Cecil Pte Ltd,"""Decided to withdraw my baby after his first day as we decided he was incompatible with the teachers (bad crying even though it was just 2.5hrs in the school) but was still charged the full month amount with no room for negotiations to prorate the amount as I could not give the 14 day notice required in the contract. Just goes to show how much compassion the management actually has. Imagine paying a full month fee for only 2.5hrs of attendance because my baby was incompatible with the care provided by the centre."", ""Terrible attitude. Called to enquire about centre visit, am told that visiting hours are only between 1-2.30pm (kids' nap time). Asked if possible to view other times as classroom interaction and observation of the same would be important considerations for us in assessing a centre's suitability. Front desk person sounded she couldn't be bothered with the enquiry and flatly said they don't allow this (with no further follow up or alternative suggestion on how parents can go about getting more information on classroom dynamics and teacher interaction with students, etc.), said ""bye-bye"" on the phone and hung up promptly. TBH if this is the attitude that parents who are cold calling about the centre get, I can't imagine what the situation would be if there was a genuine issue with the centre with an enrolled child. Just terrible and lacking in compassion all round."", ""Very good and nice"""
Agape Child Care (CCK) Pte Ltd,"""Worst ... principal money face. All the time short of Chinese teachers (no one want to stay long) and cooking auntie , teacher have to be cook and teach at same time, students wash plate themself ...."", ""Last week, I visited the childcare centre and all the kids look happy. The childcare centre is built under a bomb shelter. It feels very safe!"""
Adventure Tree Preschool - Holland,"""Excellent well run preschool with friendly & experienced teachers. The house is well setup inside for different age groups and with pedal karts outside for outdoor play. Breakfast, lunch and snacks are covered by a daily menu. My kids have been happy here since starting. Long opening hours when needed. Happy to recommend!"", ""We love Adventure Tree and the schooling environment it provides for our child. Nurturing, wholesome and friendly. The teachers have our children's best interests at heart and best part our little girl loves going to school every day! We could not have chosen a better school!"""
Active Learners Enterprise,
Active Learners,"""My daughter enrol into active learner since 2018 and graduated in 2022. For the past 4 yrs, the teachers in active learner cared and taught her on various aspects of life eg clearing the table after meal, using the washroom etc. Basic math and english language were touch on to prepare her for primary school too."""
Acekidz @ SG Pte Ltd (Yishun),"""Very very poor service from the school. Miscalculated school fees, no daily, weekly & worse of all monthly updates. I didnt even know how my son was doing in school bc admin didn’t even bother to reply my texts. They will reply or text you when it comes to MONEY & MONEY only. I withdrew my son earlier bc things were getting out of hands. The amount of mosquitoes outside their classes. Horrendous. Based on experience, i do not recommend you to send your kids to this school."", ""Just joined a couple months back but we have encountered tons of problems! There was no update when we were onboard the school, there was no communication and the teacher wasn't aware of my child's first day of school! The registration was wrong too and they calculated the fee wrongly. Worst case is that once we paid the wrong fee which was way more than we should have paid because my child was registered for half day, they REFUSED to return the fee despite the error from their end! There were multiple outbreaks of HFMD and COVID in the span of 2 months when we were there and we ended up not sending our child to school. It seems there was a change in principals and the handover wasn't done smoothly and no communication was given to the parents."", ""trusted the school when Ms Kamie, Teacher Sanjana was around. But after they resigned, i’ve realised the school’s quality is deteriorating, seem that they have lack of staffing, new principal didn’t give updates, too many teachers resigning, one teacher had to serve food while multi-tasking to feed the kids. school fees is expensive, they stop using air-con, my son always complaint abt he see bugs in class and the school is always hot."""
Ace @ Work Childcare Pte Ltd (CCK 757),"""Child care centre and preschool educational centres with curriculum specially designed for uniquely holistic comprehensive approach. Caring skillful professional warm teachings for future generations. Conveniently located at Limbang neighborhood Hartland with walking distance to MRT station and bus stations. Plenty of local delights shopping banking and amenities nearby. Friendly fast attentive cosy comfy welcoming ambience for students teacher families locals visitors and Expats."", ""Hats off to all teachers, assistant teachers and principal. They are doing a great job in nurturing and providing the structure and guidance my kids need. The level of feedback and overall parents-teacher communication is impressive. I am contended and at peace to know that both my children are in good hands. Thank you so much for your dedication and love you all are putting in for our kids."", ""Been with the centre for 4years. My daughter enter the school with speech delay. The principal, teachers and assistant teachers, even the aunties are very approachable, very patience, helpful and willing to go extra miles with her. They have make her excitedly want to go to school happily without any doubts. Highly recommended centre!"", ""School principal and teacher are very nice and amazing. Our son is learning a lot and is always excited to go to school even though he started attending from K1. Thanks for making his learning experience full of fun and interesting."", ""A great school with a great teachers and principle. I have no regrets sending all my 3 kids (1 upcoming next year) to ACE @ work cc 757. Prompt updates was always given and shared, so mummies thinking of sending ur kids here, go ahead...thumbs up for Ace @Work 757!!!"", ""Wonderful team of teachers looking into individual needs of each child both Physically & Mentally. Nurturing them well and creative teaching. Tremendous change in our children academically and socially. We're glad we made the right choice in enrolling our children in ACE@Works."", ""Very happy with the Principle and Teacher's All are very friendly and helpful My toddler now turn 2 years old We do enjoy ace @wrk The school has teach my son's to grow and learn his journey there . My son enjoy everyday the moment at school with teacher's and friend's Thx u so much ace@wrk For being with my son's all this while Excellent great service Principle and teacher's 👍"", ""It is a place filled with true love for children from 18 month to 6 years old, teachers and aunties and principal are doing a great job, nurturing and educating our lovely babies, often come up with updated events for children and parents to enjoy a family activities. This is a great school if you are planning for your next generation to be in."", ""Ace@Work CCK 757 Teachers are patient and supporting to my kid and now she is improving in all sectors such as communication, motor skills, coordination within group Now enrolling for her younger sister for N1 class next year Recommend this preschool is splendid"", ""Safe and cozy environment; interesting and engaging curriculum, coupled with thoughtful and attentive principle, teachers & aunties. The school is like a big family; if you are looking for a school that not only educate but nurture your child, this is the place to go to!"", ""Centre Teachers are great! No complaints. Will be enrolling my 2nd child here too once he turns 18months. (:"", ""My child was enrolled in N2 school, and K2 was about to end in a blink of an eye. At first, I was worried that I would not adapt, but gradually I found that my child is happy to go to school every day. Every teacher is very responsible. Of course, the children have learned a lot and are very confident in speaking and doing. When they get home, they will show their performance lessons to their parents. They also have relatively in-depth learning in Chinese and English. Thank you very much for the teacher's course arrangement and meticulous care."", ""My children learned a lot while in daycare. The teachers are also very responsible and give parents a lot of help. It makes us feel relieved to work outside. Thank you teacher for your hard work and guidance over the past few years. I am very grateful."""
