Preschool_Name,Google_Website
MindChamps PreSchool,"https://www.google.com/maps/search/MindChamps+PreSchool/@1.3856068,103.8176609,12z/data=!3m1!4b1?entry=ttu"
MindChamps PreSchool @ The Brooks II,"https://www.google.com/maps/place/MindChamps+PreSchool+@+The+Brooks+II/@1.4036771,103.8186416,17z/data=!3m1!4b1!4m6!3m5!1s0x31da133d6557a3ab:0xca70016dd61ec832!8m2!3d1.4036771!4d103.8186416!16s%2Fg%2F11fmyhz8dp?entry=ttu"
MindChamps PreSchool @ Woodlands,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Woodlands/@1.4343653,103.8024411,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139eb79d7f93:0x1e804824210259ed!8m2!3d1.4343653!4d103.8024411!16s%2Fg%2F11ckv6srwm?entry=ttu"
MindChamps Performing Arts PreSchool @ Upper Thomson Road,"https://www.google.com/maps/place/MindChamps+Performing+Arts+PreSchool+@+Upper+Thomson+Road/@1.3840184,103.8260669,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16b5eabd567d:0x9102f665c04add7f!8m2!3d1.3840184!4d103.8260669!16s%2Fg%2F11b7jd36lf?entry=ttu"
MindChamps PreSchool @ Nordcom II,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Nordcom+II/@1.4429892,103.8164308,17z/data=!3m1!4b1!4m6!3m5!1s0x31da138f24ae2873:0x18dbb3f2320d61ef!8m2!3d1.4429892!4d103.8164308!16s%2Fg%2F11h1yvfqsy?entry=ttu"
MindChamps PreSchool @ Yio Chu Kang,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Yio+Chu+Kang/@1.381524,103.846743,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16eae91aae9d:0xdfae408fb4674db9!8m2!3d1.381524!4d103.846743!16s%2Fg%2F11bc7q9s64?entry=ttu"
MindChamps PreSchool @ Yishun,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Yishun/@1.436676,103.84359,17z/data=!3m1!4b1!4m6!3m5!1s0x31da14608a5cad71:0xcfd22d6bfb3e6382!8m2!3d1.436676!4d103.84359!16s%2Fg%2F11bw46v638?entry=ttu"
MindChamps PreSchool @ Junction 10,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Junction+10/@1.3804112,103.7599899,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11bc5ec2cd4b:0x11b18783b587487b!8m2!3d1.3804112!4d103.7599899!16s%2Fg%2F11b88hnvfh?entry=ttu"
MindChamps PreSchool @ Bishan,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Bishan/@1.3595569,103.8344894,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1725ef011a6b:0x73fff9c1e9fc1698!8m2!3d1.3595569!4d103.8344894!16s%2Fg%2F11b6v4dxhc?entry=ttu"
MindChamps Reading Programme @ Woodland,"https://www.google.com/maps/place/MindChamps+Reading+Programme+@+Woodland/@1.434807,103.8026452,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139978957a85:0x171466c3634bb7f0!8m2!3d1.434807!4d103.8026452!16s%2Fg%2F11j7dzmz2p?entry=ttu"
MindChamps PreSchool @ Buangkok (Serangoon North),"https://www.google.com/maps/place/MindChamps+PreSchool+@+Buangkok+(Serangoon+North)/@1.375952,103.8706336,17z/data=!3m1!4b1!4m6!3m5!1s0x31da165859d1db05:0x14ed871b6b757e8e!8m2!3d1.375952!4d103.8706336!16s%2Fg%2F11cjj0wf39?entry=ttu"
MindChamps PreSchool @ Temasek Club,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Temasek+Club/@1.3465272,103.7806957,17z/data=!3m1!4b1!4m6!3m5!1s0x31da110e06358493:0xf5c7898dd81fb1d4!8m2!3d1.3465272!4d103.7806957!16s%2Fg%2F11hhlc_w8l?entry=ttu"
MindChamps PreSchool @ Serangoon,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Serangoon/@1.3526598,103.8598608,17z/data=!3m1!4b1!4m6!3m5!1s0x31da170ed7875f97:0xc5ba1c272505aab1!8m2!3d1.3526598!4d103.8598608!16s%2Fg%2F1ptytk4f0?entry=ttu"
MindChamps PreSchool @ Toa Payoh,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Toa+Payoh/@1.3329648,103.8486276,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1766dd2c2c25:0xcfb0d0456743adfd!8m2!3d1.3329648!4d103.8486276!16s%2Fg%2F1tfm8rg4?entry=ttu"
MindChamps PreSchool @ Raffles Town Club,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Raffles+Town+Club/@1.3218083,103.8246898,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19f92bffe85d:0xb4738ea48bae8802!8m2!3d1.3218083!4d103.8246898!16s%2Fg%2F11f2tsdhlt?entry=ttu"
MindChamps PreSchool @ Punggol,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Punggol/@1.4157664,103.8992198,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15ee88c7486d:0x838455223f0a5b64!8m2!3d1.4157664!4d103.8992198!16s%2Fg%2F11clr_pj89?entry=ttu"
MindChamps Chinese PreSchool @ Thomson,"https://www.google.com/maps/place/MindChamps+Chinese+PreSchool+@+Thomson/@1.3331363,103.8390793,17z/data=!3m1!4b1!4m6!3m5!1s0x31da175c62ceb55b:0x1c3a8781f6f6afd4!8m2!3d1.3331363!4d103.8390793!16s%2Fg%2F11hbnz19hs?entry=ttu"
MindChamps PreSchool @ Holland Village,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Holland+Village/@1.3101699,103.7952395,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a6a541ec05b:0x37b334c288eade93!8m2!3d1.3101699!4d103.7952395!16s%2Fg%2F11bw77w_x1?entry=ttu"
MindChamps PreSchool @ Straits View,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Straits+View/@1.4610437,103.7361021,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc777a28750ae1:0xd2f23ed1c92ec69a!8m2!3d1.4610437!4d103.7361021!16s%2Fg%2F11fl49bv8_?entry=ttu"
MindChamps PreSchool @ JTC Summit,"https://www.google.com/maps/place/MindChamps+PreSchool+@+JTC+Summit/@1.3312561,103.7416755,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1008b7f3b785:0xf0f5f366dc95f4f1!8m2!3d1.3312561!4d103.7416755!16s%2Fg%2F1vvyvlc1?entry=ttu"
MindChamps PreSchool @ Fusionopolis,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Fusionopolis/@1.2998458,103.7877637,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a454fffffff:0x2a3d7781b215b787!8m2!3d1.2998458!4d103.7877637!16s%2Fg%2F1tcx4jlk?entry=ttu"
MindChamps PreSchool @ Paragon,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Paragon/@1.3037752,103.8359096,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1992320efbcf:0xcf500ca000a8ae5b!8m2!3d1.3037752!4d103.8359096!16s%2Fg%2F1vwllnlz?entry=ttu"
MindChamps PreSchool @ West Coast Plaza,"https://www.google.com/maps/place/MindChamps+PreSchool+@+West+Coast+Plaza/@1.3036823,103.7659354,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1afb850e3b93:0xcc5c78c73ffbad65!8m2!3d1.3036823!4d103.7659354!16s%2Fg%2F11c3v552mt?entry=ttu"
MindChamps PreSchool @ City Square Mall,"https://www.google.com/maps/place/MindChamps+PreSchool+@+City+Square+Mall/@1.3115639,103.8568345,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19c89fffffff:0x1636350347a3e65c!8m2!3d1.3115639!4d103.8568345!16s%2Fg%2F1thvdfyf?entry=ttu"
MindChamps PreSchool @ East Coast,"https://www.google.com/maps/place/MindChamps+PreSchool+@+East+Coast/@1.315022,103.8945292,17z/data=!3m1!4b1!4m6!3m5!1s0x31da181704a6d737:0xd660273707f14cba!8m2!3d1.315022!4d103.8945292!16s%2Fg%2F11c5gv3ps5?entry=ttu"
MindChamps PreSchool @ One Raffles Place,"https://www.google.com/maps/place/MindChamps+PreSchool+@+One+Raffles+Place/@1.284749,103.851992,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190eacb58e55:0x1230303978b723af!8m2!3d1.284749!4d103.851992!16s%2Fg%2F11gdfs2spc?entry=ttu"
MindChamps PreSchool @ Sengkang,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Sengkang/@1.3832602,103.892109,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1772399a76c7:0xe9dca4aea55ea790!8m2!3d1.3832602!4d103.892109!16s%2Fg%2F11twrb9nkm?entry=ttu"
MindChamps PreSchool @ Mapletree Business City,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Mapletree+Business+City/@1.2754092,103.7985447,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1bc0baaaaaab:0xf448302e6183ac04!8m2!3d1.2754092!4d103.7985447!16s%2Fg%2F1td5cm_r?entry=ttu"
MindChamps Performing Arts PreSchool @ Marina Square,"https://www.google.com/maps/place/MindChamps+Performing+Arts+PreSchool+@+Marina+Square/@1.2912061,103.8576768,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19a856b7dc2b:0xde5d4779c18f1cfa!8m2!3d1.2912061!4d103.8576768!16s%2Fg%2F11b61qx7kk?entry=ttu"
MindChamps Chinese PreSchool @ Cecil Street,"https://www.google.com/maps/place/MindChamps+Chinese+PreSchool+@+Cecil+Street/@1.2806884,103.8492068,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190deb3aaaab:0xcd03a5bb4067a725!8m2!3d1.2806884!4d103.8492068!16s%2Fg%2F11gcfq14vw?entry=ttu"
MindChamps PreSchool @ Pasir Ris,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Pasir+Ris/@1.3722986,103.9494884,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1962cd93e29b:0x17060f02b61a9aa3!8m2!3d1.3722986!4d103.9494884!16s%2Fg%2F11hhdfn9h3?entry=ttu"
MindChamps PreSchool @ Changi Airport Terminal 3,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Changi+Airport+Terminal+3/@1.3563,103.987354,17z/data=!3m1!4b1!4m6!3m5!1s0x31da3c8c5375dc0f:0xab47e28eb9822cfc!8m2!3d1.3563!4d103.987354!16s%2Fg%2F11ddwzbmcj?entry=ttu"
MindChamps Preschool @ Sentosa JB,"https://www.google.com/maps/place/MindChamps+Preschool+@+Sentosa+JB/@1.4940619,103.7776626,17z/data=!3m1!4b1!4m6!3m5!1s0x31da6d722e040a33:0xf3faa1df150fab52!8m2!3d1.4940619!4d103.7776626!16s%2Fg%2F11vlxg_4lf?entry=ttu"
MindChamps Chinese PreSchool @ Dairy Farm,"https://www.google.com/maps/place/MindChamps+Chinese+PreSchool+@+Dairy+Farm/@1.3666323,103.7740932,17z/data=!3m1!4b1!4m6!3m5!1s0x31da119b3a29f433:0x78a8ae817e33361d!8m2!3d1.3666323!4d103.7740932!16s%2Fg%2F11lclvw2cm?entry=ttu"
MindChamps Global HQ,"https://www.google.com/maps/place/MindChamps+Global+HQ/@1.2914251,103.8576758,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1766c2aaaaab:0x35ee2b344e3c1603!8m2!3d1.2914251!4d103.8576758!16s%2Fg%2F1wb8r69n?entry=ttu"
MindSpace @ Greenwich V (Sengkang) | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,"https://www.google.com/maps/place/MindSpace+@+Greenwich+V+(Sengkang)+%7C+After+School+Student+Care+for+P1-P5+%7C+MindChamps+Enrichment+%26+PSLE+for+P1-P6/@1.3875841,103.869409,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19440422862f:0xcdc93f8becae08f5!8m2!3d1.3875841!4d103.869409!16s%2Fg%2F11pts85c3k?entry=ttu"
MindSpace @ Midview City (Bishan) | After School Student Care for P1-P5 | Powered By MindChamps,"https://www.google.com/maps/place/MindSpace+@+Midview+City+(Bishan)+%7C+After+School+Student+Care+for+P1-P5+%7C+Powered+By+MindChamps/@1.3586404,103.8340972,17z/data=!3m1!4b1!4m6!3m5!1s0x31da172604e408b7:0x4781e33e7bdf7477!8m2!3d1.3586404!4d103.8340972!16s%2Fg%2F11rtsg6l5f?entry=ttu"
MindChamps Reading Programme @ Sengkang,"https://www.google.com/maps/place/MindChamps+Reading+Programme+@+Sengkang/@1.3818605,103.8927256,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17e02e96a565:0x238ea7e0372666cf!8m2!3d1.3818605!4d103.8927256!16s%2Fg%2F11kk2z37bj?entry=ttu"
MindChamps Reading @ Sembawang Nordcom II (Reading & Phonics Classes for Kids),"https://www.google.com/maps/place/MindChamps+Reading+@+Sembawang+Nordcom+II+(Reading+%26+Phonics+Classes+for+Kids)/@1.4433502,103.8155687,17z/data=!3m1!4b1!4m6!3m5!1s0x31da137d4e22c8a9:0x78bf66d00af0dad5!8m2!3d1.4433502!4d103.8155687!16s%2Fg%2F11tjn_31vs?entry=ttu"
MindChamps Enrichment Academy @ Marina Square HQ,"https://www.google.com/maps/place/MindChamps+Enrichment+Academy+@+Marina+Square+HQ/@1.291433,103.8576787,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1958eccc080d:0xf4a6d8433facb4b1!8m2!3d1.291433!4d103.8576787!16s%2Fg%2F11fqt5dt3m?entry=ttu"
MindSpace @ Central Plaza (Tiong Bahru) | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,"https://www.google.com/maps/place/MindSpace+@+Central+Plaza+(Tiong+Bahru)+%7C+After+School+Student+Care+for+P1-P5+%7C+MindChamps+Enrichment+%26+PSLE+for+P1-P6/@1.2864244,103.827346,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19625bee4519:0xa835a3d51fb731b3!8m2!3d1.2864244!4d103.827346!16s%2Fg%2F11rtrjxv3g?entry=ttu"
