Preschool_Name,Distance_To_User_km,Average_Stars,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,fees_sc_nursery,fees_pr_nursery,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,Cosine_Similarity,Euclidean_Distance,Manhattan_Distance
Wat Patthar Educare Centre,0.21387265252183002,1.0,,0.4679166666666667,,,,0.4679166666666667,0.46769242724482263,0.072072072072072,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0
The Orange Academy (Yishun) Pte Ltd,0.2917498667596867,1.0,,,,,,,1.0,0.1954954954954955,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7208860396977816,3.12130446573999,10.669441543749791
The Little Skool-House International Pte Ltd (At-Republic-Polytechnic),0.35140241541866307,1.0,,,,,,,0.13354314799704703,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6826016509024373,3.2294755657570433,11.335440303405871
Sunflower Preschool @ Teck Ghee Pte Ltd,0.9616676799661763,0.75,,0.0823103661835008,,,,0.0734358998975934,0.15685588840968245,0.5045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5068470004855166,3.6345043485856445,14.521151065964158
Sunflower Preschool @ Sembawang Pte Ltd,0.13611768740544727,1.0,0.4416666666666667,0.2363636363636364,,,,0.3390151515151515,0.15685588840968245,0.5045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5326265733313077,3.5432985829576946,13.623145148505166
Sunflower Preschool @ Mindef (Gombak) Pte Ltd,0.9796516331462328,0.0,,,,,,,0.15685588840968245,0.5045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4533775026881054,3.78258200486777,15.444881285225309
Star Learners @ Yishun Pte Ltd,0.3153953046428681,0.8928571428571428,,,,,,,0.15685588840968245,0.2072072072072072,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6745111414137305,3.817664117394603,15.590470516567503
Star Learners @ Yio Chu Kang Pte Ltd,0.7744392673476251,0.8928571428571428,0.1964285714285714,0.1840210715210715,,,,0.2363286713286713,0.15685588840968245,0.2072072072072072,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6804806299206223,3.8227489156781145,15.82559330785109
Star Learners @ Woodlands 888 Pte Ltd,0.23501506094237953,1.0,,,,,,,0.15685588840968245,0.2072072072072072,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6767665951088173,3.8148682642976954,15.402947415724158
Star Learners @ Gambas Pte Ltd,0.04155679216804204,1.0,0.3401746031746032,0.6416666666666667,,,,0.3778611111111111,0.15685588840968245,0.2072072072072072,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.689529092896965,3.7813478338528825,15.222267693054222
Star Learners @ CCK Sports Centre Pte Ltd,0.9537269777009244,0.90625,0.2619047619047619,0.6666746031746031,,,,0.4481354875283446,0.15685588840968245,0.2072072072072072,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.686582120883537,3.844417310892588,15.76001987670039
Star Learners @ Bukit Panjang Pte Ltd,0.8429025203176448,1.0,0.5422222222222223,0.4367061774204631,,,,0.4551714852607709,0.15685588840968245,0.2072072072072072,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6855120031895214,3.847817680940962,15.661179434640411
Spring Brainy Kidz (Yishun 716),0.23157262193895992,1.0,0.35,,0.35,,,,0.15685588840968245,0.072072072072072,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.695370219231649,3.8444537527041818,15.964369841585604
Skool4Kidz Centre (Yishun Orchid Spring),0.44086545433024815,0.875,0.7,,,,,0.7,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7082053487783656,3.749241502419254,15.30977531914333
Skool4Kidz Centre (Yishun Oleander Breeze),0.4323135972038074,1.0,0.6166666666666667,,,,0.6166666666666667,,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6986574989870451,3.8043417888765716,15.945390128683556
Skool4Kidz Centre (Woodlands Ring Road),0.18070444288113255,0.625,,,,,,,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6981071791385508,3.7157057976721264,14.901784060308945
Skool4Kidz Centre (Woodlands Crescent),0.1513908035460834,0.625,,,,,,,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6979373956011518,3.716083075790275,14.931097699643992
Skool4Kidz Centre (Senja Parc View),0.8887556730452352,0.33333333333333326,,,,,,,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.685275387491381,3.8163668561288393,15.835165537858318
