Preschool_Name,Topic 0,Topic 1
7oaks Preschool - Bukit Batok,,0.2516203703703704
Aaytozee @ Hillview,0.2697474747474748,-0.14451785714285714
Ace @ Work Childcare (JE288B),0.30037037037037034,0.27339775121676163
Ace @ Work Childcare Pte Ltd (703 Choa Chu Kang St 53),0.29825813713616134,0.3919419279826177
Ace @ Work Childcare Pte Ltd (CCK 757),0.31904518950437316,0.36020502645502644
Ace @ Work Childcare Pte Ltd (Cashew Heights),0.3259089322457378,0.29114807033924683
Acekidz @ SG Pte Ltd (Yishun),,-0.07021464646464647
Active Learners,,-0.016666666666666656
Adventure Tree Preschool - Holland,0.46838541666666667,
Agape Child Care (CCK) Pte Ltd,,0.16374999999999998
Agape Little Uni @ Cecil Pte Ltd,,0.21977564102564098
Agape Little Uni @ Clementi Pte Ltd,0.7549999999999999,
Agape Little Uni @ Kallang Pte Ltd,,0.8775
Agape Little Uni Jurong West Centre,,0.0
Agape Little Uni Thomson Centre,,0.1318181818181818
Agape Little Uni. @ Gambas Pte Ltd,0.51,-0.19422077922077924
Al - Ansar Mosque Kindergarten,1.0,
Al-Amin Education Pte Ltd,,0.008611111111111115
Ang Mo Kio Methodist Preschool,0.3758550764050764,0.49537202380952383
Baby Elk Infant Care Singapore,,0.3398664916995332
Bedok Methodist Preschool SPARK Certification,0.3672938086219336,0.3362878787878788
Bethesda (Ang Mo Kio) Kindergarten,0.26542857142857146,0.16681904761904764
Bethesda (Katong) Kindergarten,0.78125,0.0
Bethesda (Pasir Ris) Kindergarten,0.3868329428904429,0.18634920634920635
Blossom Creative Centre (Bedok),0.3955871792990437,0.16962350421909247
Blossom Discovery Centre (Serangoon),0.3124404761904762,0.10100000000000002
Blossom Fantasia Centre (Loyang),,0.64375
BlueTree Education (Choa Chu Kang),0.3728360528360528,0.7
Bridging Stars Childcare Pte Ltd,0.43272567968159487,0.042424242424242434
Bright Kids @ Jurong West Pte Ltd,0.7000000000000001,0.3499999999999999
Bright Kids School House Pte Ltd (192 Punggol Central),0.3755527958152958,0.5325242504409171
Brighton Montessori @ Crystal Court,0.6833333333333335,-0.012845919512586183
Brighton Montessori @ Kovan (Formerly known as Canberra Preschool),0.43427398989898985,
Brighton Montessori Centres Pte Ltd (190 Ang Mo Kio Avenue 8),0.5296428571428571,
Brighton Montessori Centres Pte Ltd (Mountbatten),0.2422462406015038,-0.13333333333333333
Brighton Montessori International Pre-School @ Frankel,,0.25057692307692303
Brighton Montessori International Pre-School @ Sunset,0.4037037037037037,
Bukit Panjang Methodist Church Kindergarten,0.5261363636363636,
Busy Bees Singapore Pte Ltd (Small Wonder Anchorvale),0.35444444444444445,0.008333333333333331
Calvary Pandan Kindergarten,0.36620370370370364,0.1825
Cambridge @ Artra Alexandra,0.256875,0.29482900432900433
Cambridge @ Dairy Farm,0.65,0.0
