Preschool_Name,Topic 0,Topic 1,Topic 2
7oaks Preschool - Bukit Batok,0.2516203703703704,0.2516203703703704,
Aaytozee @ Hillview,0.2697474747474748,-0.14451785714285714,
Ace @ Work Childcare (JE288B),0.27955555555555556,0.2834782660804296,
Ace @ Work Childcare Pte Ltd (703 Choa Chu Kang St 53),0.279786684700762,0.3829734631314936,
Ace @ Work Childcare Pte Ltd (CCK 757),0.29960695389266817,0.3709863945578231,
Ace @ Work Childcare Pte Ltd (Cashew Heights),0.29320048585673586,0.34678320677229224,0.0
Acekidz @ SG Pte Ltd (Yishun),,-0.07021464646464647,
Active Learners,,-0.016666666666666656,
Adventure Tree Preschool - Holland,0.46838541666666667,,
Agape Child Care (CCK) Pte Ltd,,0.16374999999999998,
Agape Little Uni @ Cecil Pte Ltd,,0.21977564102564098,
Agape Little Uni @ Clementi Pte Ltd,0.7549999999999999,,
Agape Little Uni @ Kallang Pte Ltd,,0.8775,
Agape Little Uni Jurong West Centre,,0.0,0.0
Agape Little Uni Thomson Centre,,0.1318181818181818,
Agape Little Uni. @ Gambas Pte Ltd,0.51,-0.19422077922077924,
Al - Ansar Mosque Kindergarten,1.0,,
Al-Amin Education Pte Ltd,,0.008611111111111115,
Ang Mo Kio Methodist Preschool,0.37497323174909386,0.48493386243386244,
Baby Elk Infant Care Singapore,,0.3398664916995332,
Bedok Methodist Preschool SPARK Certification,0.3607800625300625,0.40225589225589226,0.0
Bethesda (Ang Mo Kio) Kindergarten,0.2854897959183674,0.1528793650793651,
Bethesda (Katong) Kindergarten,0.78125,0.0,0.0
Bethesda (Pasir Ris) Kindergarten,0.3968300920745921,0.2442330488955489,
Blossom Creative Centre (Bedok),0.3955871792990437,0.16962350421909247,
Blossom Discovery Centre (Serangoon),0.3124404761904762,0.17148015873015876,
Blossom Fantasia Centre (Loyang),,0.64375,
BlueTree Education (Choa Chu Kang),0.3728360528360528,0.7,
Bridging Stars Childcare Pte Ltd,0.4529701180240615,0.1836677233799364,
Bright Kids @ Jurong West Pte Ltd,0.7000000000000001,0.3499999999999999,
Bright Kids School House Pte Ltd (192 Punggol Central),0.36840878505552416,0.49514473304473305,
Brighton Montessori @ Crystal Court,0.6833333333333335,0.0045892790337234745,-0.06515151515151515
Brighton Montessori @ Kovan (Formerly known as Canberra Preschool),0.43427398989898985,,
Brighton Montessori Centres Pte Ltd (190 Ang Mo Kio Avenue 8),0.5295238095238095,0.53,
Brighton Montessori Centres Pte Ltd (Mountbatten),0.24224624060150382,-0.13333333333333333,
Brighton Montessori International Pre-School @ Frankel,,0.25057692307692303,
Brighton Montessori International Pre-School @ Sunset,0.4037037037037037,,
Bukit Panjang Methodist Church Kindergarten,0.5261363636363636,,
Busy Bees Singapore Pte Ltd (Small Wonder Anchorvale),0.34305555555555556,0.1388888888888889,
Calvary Pandan Kindergarten,0.36620370370370364,0.1825,
Cambridge @ Artra Alexandra,0.256875,0.2885033369408369,
Cambridge @ Dairy Farm,0.65,0.21666666666666667,
Cambridge @ Fernvale Pte Ltd,0.22291666666666668,0.23232995179423752,
Cambridge @ Kingsford Waterbay Pte Ltd,0.389046127946128,0.2933195899082996,
Cambridge @ MacPherson,0.32925,0.23745214954829902,
Cambridge @ Robertson,0.3852941176470588,0.6025,
Cambridge @ Serangoon Gardens Pte Ltd,0.3062136882148023,0.14397712431115375,0.10625000000000001
Camelot River Valley,0.3576956108706109,0.3721271389654631,
Carpe Diem @ 2 Ang Mo Kio Drive,0.7,0.7,
Carpe Diem @ 78 Yio Chu Kang,0.286,0.31839243626743624,
Carpe Diem @ Bukit Batok Central,1.0,0.4623511904761905,
Carpe Diem @ Fajar Road,,0.2091787439613527,
Carpe Diem @ Hilltop Pte Ltd,0.45851190476190473,0.1868571082739316,
Carpe Diem @ Jurong Kechil,,0.11363636363636363,
Carpe Diem @ Parkway Centre Pte Ltd,0.3961498917748918,0.3666731859410431,
Carpe Diem @ Petir,0.35,0.1,0.6
Carpe Diem Childcare Resort Pte Ltd,0.037500000000000006,,
Carpe Diem Schoolhouse Pte Ltd (5 Toh Yi Drive),0.30000000000000004,,
Carpe Diem Springs Preschool,0.4285512490981241,0.2311361195622559,
Carpe Diem Starlets 2,0.459375,0.00972222222222223,
Carpe Diem Starlets Sparkle Pte Ltd,0.277202380952381,,
Catholic Kindergarten,,0.20069444444444443,
Cavenur Kindergarten,0.5,,
Chatsworth Preschool - Clementi Woods,0.5428030303030302,0.17408172635445363,
Chatsworth Preschool - Piccadilly Campus,0.4578787878787879,0.529515931372549,
Cherie Hearts @ Charlton Pte Ltd,0.3619661295407644,0.3202619393671476,
Child at Street 11,0.4,-0.4949999999999999,
ChildFirst @ Mountbatten,0.39893941853600945,0.17264309764309763,0.6499999999999999
Childfirst@Tampines Pte Ltd,0.5027777777777778,0.44999999999999996,
Children's Cove Preschool - Pasir Ris,0.40770833333333334,0.33347727272727273,
Children's Cove Preschool - Sembawang,0.3470278094225463,0.21126414943081612,
ChildrenÃÂs Cove Preschool Pte Ltd (Novena),0.4013865214646465,0.39122222222222225,
ChildrenÃ¢ÂÂs Cove Preschool - Orange Grove,0.21785714285714283,0.10642969420929947,
Clementi Woods Kindergarten,0.5608333333333333,,
Creative Thinkers Preschool Pte Ltd,0.18258333333333335,0.7,
Crestar Learning Centre @ Woodlands Civic Centre,-0.48828125,,-0.48828125
DAS Chua Chu Kang Learning Centre,,0.3125,
Da Little Preschool in Tamarind,0.43960168619259526,0.14033997785160576,
