Comment,Sentiment,Topic_Number,Word,Preschool_Name
"""Deciding to send our kid to MindSpace @ Tai Seng, Grantral Mall was a game-changer; we were glad we made that decision. The dedication and hard work put in by the center managers and trainers is nothing short of remarkable. From coaching the kids to managing the center's operations, planning events, and keeping us informed about our child's progress, they handle it all with such finesse, it's like watching a well-oiled machine in action. Before MindSpace, our child seemed to exhibit learning challenges and behavioral hurdles: throwing tantrums when asked to do home work, unable to comprehend basic arithmetic, and disliking classes. We were pleasantly surprised that after going to MindSpace, he is actually looking forward to attend MindSpace. His attitude towards homework has improved, and he is showing significant improvement in behaviour. We were happy when the school teachers told us that they noticed an improvement with our child. It's got me thinking-if MindSpace can work wonders for our child, maybe they have a secret recipe for adults too. MindSpace, any chance of an adult program? Sign me up; I'm ready to experience that transformation firsthand!",0.09313725490196079,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"I am very happy with the service provided by MindSpace. My son loves it there, he’s always excited to go to MindSpace, he loves his teachers and I also see him more focused and improving in his studies since he started going to Mindspace. MindSpace provides a well rounded after school care to my son and I would highly recommend them.",0.50875,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"I'm glad that we made the right decision to send our daughter to MindSpace @Tai Seng after school care. Thanks to center Direct Ching Ching and Manager April.Their value advice and sharing regarding enroll our child to primary school really means a lot to me. My daughter likes here. I fetch her after 6pm everyday, she still says it's too early and she doesn't want to go home. She loves the trainers, as they亦师亦友.",0.16507936507936508,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
My child has been attending P4-5 English and Chinese weekend classes since last year. He had fun and enjoys his classes very much. Thank you for taking great care of him and encouraging him in his studies.,0.22666666666666668,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
The centre is well organised and teachers are friendly and knowledgeable. My kid is adapting well in the centre and would recommend anyone who is interested in signing up for Mindspace to consider this centre.,0.3125,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"Sending my niece to Mindspace@Tai Seng is the best education decision I have made! My niece (a typical heartlander) became more interactive, can articulate and express herself better. When I run into logistics coordination problems, the business owner, Ching & her team staff helped me with sincere and stress-free assistance with great initiative. It had helped me in dual capacity as in improving both education where I can focus on work concentration. Their enrichment are aligned with MOE and to my knowledge the only enrichment programme currently with PSLE results verified by KPMG in Singapore which is quality controlled. Many thanks & keep up with the great work :)",0.4277777777777778,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"We had a wonderful experience at Mindspace Tai Seng. The trainers are very dedicated in nurturing our son even though this is a after school care. The school work hand in hand with parents to optimize the on the learning environment for our son. It's sad that we had to leave due to relocation, but we are very much looking forward to put our son back upon return. Thank you all the trainers in MindSpace Tai Seng for providing a conducive environment for our son.",0.13916666666666666,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
My son had some difficulty to new environment and was not adapting well in previous school hence i chance upon and read up on MindSpace and decided to make the change midyear for my son. I was amazed by the professional teachers handling my son on his very 1st day. When i picked up my son he was already looking forward to go back to MindSpace the next day! Thanks to the awesome admin team and teachers for the great service! Highly recommended!!,0.271969696969697,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"I am glad that we decided to place our child in this Centre. The teachers are attentive and most importantly, they are trained on proper ways to handle children. I have my peace of mind placing them here. My child’s grade also show good improvement after joining the center. Thank you and pls keep it up!!",0.33482142857142855,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
MindSpace (Grantral Mall) provides a very nice and conducive environment for learning. The trainers are also prompt in providing updates on my son's progress. He is enjoying himself a lot in the centre and is doing well in terms of curriculum and homework. I would highly recommend parents to try out MindSpace!,0.49333333333333335,Topic 1,"['teacher', 'school', 'child', 'kid', 'care', 'principal', 'son', 'parent', 'good', 'thank', 'time', 'day', 'centre', 'go', 'year', 'daughter', 'love', 'like', 'month', 'update']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
