Word,Frequency,Category
teacher,8192,Staff_and_Management_Factors
school,7315,Facility_Factors
child,5692,Communication_Factors
kid,3103,Communication_Factors
parent,1875,Staff_and_Management_Factors
son,1736,Staff_and_Management_Factors
daughter,1581,Staff_and_Management_Factors
year,1547,Communication_Factors
staff,1486,Staff_and_Management_Factors
care,1423,Communication_Factors
environment,1392,Facility_Factors
time,1294,Communication_Factors
day,1128,Communication_Factors
activity,906,Educational_Factors
class,891,Educational_Factors
principal,888,Facility_Factors
experience,855,Educational_Factors
curriculum,782,Educational_Factors
centre,765,Facility_Factors
month,729,Communication_Factors
thank,719,Communication_Factors
team,714,Facility_Factors
lot,698,Communication_Factors
learning,685,Educational_Factors
preschool,632,Facility_Factors
girl,593,Staff_and_Management_Factors
boy,580,Staff_and_Management_Factors
effort,572,Educational_Factors
place,551,Facility_Factors
fun,541,Communication_Factors
development,539,Educational_Factors
love,520,Communication_Factors
work,519,Educational_Factors
student,503,Staff_and_Management_Factors
update,484,Communication_Factors
friend,470,Staff_and_Management_Factors
education,433,Educational_Factors
skill,426,Educational_Factors
way,391,Educational_Factors
journey,384,Educational_Factors
progress,380,Educational_Factors
teaching,380,Educational_Factors
communication,378,Communication_Factors
hand,366,Educational_Factors
home,359,Facility_Factors
thing,357,Communication_Factors
patience,347,Communication_Factors
family,341,Facility_Factors
childcare,334,Facility_Factors
infant,319,Communication_Factors
play,314,Educational_Factors
dedication,308,Staff_and_Management_Factors
lesson,307,Educational_Factors
area,288,Safety_and_Health_Factors
growth,273,Educational_Factors
life,266,Safety_and_Health_Factors
center,257,Facility_Factors
facility,256,Facility_Factors
management,256,Educational_Factors
event,253,Facility_Factors
baby,252,Communication_Factors
improvement,251,Educational_Factors
job,242,Communication_Factors
support,242,Staff_and_Management_Factors
guidance,235,Educational_Factors
week,235,Communication_Factors
champ,233,Communication_Factors
feedback,230,Communication_Factors
concern,226,Safety_and_Health_Factors
confidence,223,Communication_Factors
decision,223,Facility_Factors
mind,215,Staff_and_Management_Factors
heart,212,Staff_and_Management_Factors
language,208,Educational_Factors
classroom,207,Facility_Factors
choice,207,Educational_Factors
need,203,Educational_Factors
app,203,Communication_Factors
playground,203,Facility_Factors
morning,195,Communication_Factors
quality,194,Staff_and_Management_Factors
food,193,Communication_Factors
music,193,Educational_Factors
level,192,Safety_and_Health_Factors
attention,187,Staff_and_Management_Factors
kindergarten,179,Facility_Factors
one,177,Communication_Factors
program,175,Educational_Factors
age,174,Facility_Factors
mindchamp,171,Facility_Factors
knowledge,171,Staff_and_Management_Factors
kudo,169,Communication_Factors
space,163,Facility_Factors
word,162,Communication_Factors
passion,159,Staff_and_Management_Factors
issue,155,Staff_and_Management_Factors
pre,155,Educational_Factors
value,155,Facility_Factors
enrichment,151,Educational_Factors
art,147,Educational_Factors
term,146,Educational_Factors
educator,146,Staff_and_Management_Factors
branch,143,Facility_Factors
photo,139,Educational_Factors
interest,135,Staff_and_Management_Factors
performance,134,Educational_Factors
classmate,131,Educational_Factors
opportunity,129,Staff_and_Management_Factors
programme,128,Educational_Factors
toddler,124,Communication_Factors
moment,120,Communication_Factors
end,120,Facility_Factors
group,119,Educational_Factors
change,116,Facility_Factors
review,114,Communication_Factors
fee,112,Communication_Factors
playgroup,112,Facility_Factors
laoshi,110,Staff_and_Management_Factors
transition,109,Educational_Factors
foundation,108,Facility_Factors
interaction,108,Educational_Factors
water,108,Communication_Factors
period,107,Educational_Factors
childhood,107,Communication_Factors
house,107,Facility_Factors
graduation,106,Educational_Factors
memory,106,Communication_Factors
approach,105,Educational_Factors
alot,105,Communication_Factors
smile,105,Communication_Factors
tour,104,Educational_Factors
aspect,104,Staff_and_Management_Factors
reading,103,Educational_Factors
joy,102,Communication_Factors
today,102,Facility_Factors
peace,101,Staff_and_Management_Factors
service,100,Educational_Factors
safety,100,Safety_and_Health_Factors
ease,99,Staff_and_Management_Factors
story,98,Educational_Factors
understanding,98,Educational_Factors
gratitude,97,Communication_Factors
question,96,Communication_Factors
character,96,Educational_Factors
location,95,Facility_Factors
role,94,Staff_and_Management_Factors
mile,94,Staff_and_Management_Factors
community,92,Facility_Factors
excursion,91,Facility_Factors
auntie,90,Staff_and_Management_Factors
commitment,89,Safety_and_Health_Factors
ability,88,Safety_and_Health_Factors
atmosphere,87,Safety_and_Health_Factors
difference,87,Safety_and_Health_Factors
face,86,Educational_Factors
workshop,85,Educational_Factors
study,83,Educational_Factors
attitude,83,Safety_and_Health_Factors
concert,83,Facility_Factors
self,83,Safety_and_Health_Factors
celebration,82,Communication_Factors
session,82,Educational_Factors
sense,82,Safety_and_Health_Factors
trip,81,Facility_Factors
song,81,Communication_Factors
book,81,Educational_Factors
help,81,Communication_Factors
meal,81,Communication_Factors
turnover,80,Safety_and_Health_Factors
hour,80,Educational_Factors
standard,80,Safety_and_Health_Factors
nursery,80,Educational_Factors
appreciation,79,Communication_Factors
room,79,Facility_Factors
process,78,
reason,77,Communication_Factors
people,77,Safety_and_Health_Factors
point,77,Facility_Factors
star,76,Communication_Factors
speech,75,Educational_Factors
query,75,Safety_and_Health_Factors
impact,75,Educational_Factors
problem,75,Communication_Factors
form,75,Educational_Factors
stage,73,
hygiene,72,Safety_and_Health_Factors
kindness,72,Communication_Factors
leadership,71,Educational_Factors
writing,71,Educational_Factors
ratio,70,Safety_and_Health_Factors
fact,69,Safety_and_Health_Factors
mandarin,68,Safety_and_Health_Factors
professionalism,67,Educational_Factors
habit,66,Safety_and_Health_Factors
drop,66,Educational_Factors
future,66,
everyday,66,
creativity,65,Educational_Factors
behaviour,65,Communication_Factors
expectation,64,Communication_Factors
kind,64,Safety_and_Health_Factors
mother,64,Staff_and_Management_Factors
bit,64,Safety_and_Health_Factors
culture,64,Safety_and_Health_Factors
principle,64,Educational_Factors
field,63,Safety_and_Health_Factors
bus,63,Facility_Factors
visit,63,Safety_and_Health_Factors
garden,63,Safety_and_Health_Factors
rest,63,Safety_and_Health_Factors
material,62,Safety_and_Health_Factors
case,62,Safety_and_Health_Factors
number,62,Safety_and_Health_Factors
manner,62,
campus,62,Facility_Factors
admin,60,Staff_and_Management_Factors
situation,60,Communication_Factors
gym,60,Facility_Factors
detail,60,Safety_and_Health_Factors
building,60,Facility_Factors
door,60,Facility_Factors
wife,59,Staff_and_Management_Factors
weekend,58,Communication_Factors
rate,57,Educational_Factors
shout,57,Safety_and_Health_Factors
start,57,Educational_Factors
challenge,57,Staff_and_Management_Factors
person,56,Safety_and_Health_Factors
worry,56,Communication_Factors
nature,56,Educational_Factors
world,56,
sport,55,Educational_Factors
enthusiasm,55,Communication_Factors
training,55,Staff_and_Management_Factors
husband,55,Staff_and_Management_Factors
craft,55,
regret,55,Communication_Factors
academic,55,Educational_Factors
phonic,55,Educational_Factors
encouragement,55,Communication_Factors
response,55,Communication_Factors
picture,54,Safety_and_Health_Factors
independence,53,
warmth,53,Staff_and_Management_Factors
video,51,Safety_and_Health_Factors
method,51,Educational_Factors
patient,51,Communication_Factors
compound,51,Safety_and_Health_Factors
responsibility,50,Educational_Factors
motor,50,
course,50,Educational_Factors
system,50,Safety_and_Health_Factors
variety,49,Educational_Factors
check,49,Educational_Factors
money,49,Staff_and_Management_Factors
cooking,48,Communication_Factors
learner,48,Educational_Factors
milestone,48,Educational_Factors
individual,47,Educational_Factors
dance,47,Educational_Factors
toy,47,Educational_Factors
exposure,47,Educational_Factors
assurance,47,Staff_and_Management_Factors
chance,46,Staff_and_Management_Factors
park,46,Facility_Factors
action,45,Staff_and_Management_Factors
balance,45,Educational_Factors
success,45,Educational_Factors
bond,45,Educational_Factors
addition,45,Educational_Factors
email,45,Communication_Factors
health,45,Safety_and_Health_Factors
holiday,44,Facility_Factors
focus,44,Educational_Factors
peer,44,Staff_and_Management_Factors
relationship,44,Educational_Factors
incident,44,Staff_and_Management_Factors
toilet,43,Facility_Factors
cleanliness,43,Safety_and_Health_Factors
date,43,Communication_Factors
happiness,43,Communication_Factors
thumb,43,Communication_Factors
gem,43,Facility_Factors
discipline,43,Educational_Factors
member,42,
stuff,42,Staff_and_Management_Factors
thought,42,Educational_Factors
beginning,42,Educational_Factors
caring,42,Staff_and_Management_Factors
conversation,42,Communication_Factors
science,42,Educational_Factors
occasion,42,Educational_Factors
game,41,Communication_Factors
setting,41,
routine,41,Educational_Factors
testament,41,Educational_Factors
shoutout,41,Communication_Factors
lady,41,Staff_and_Management_Factors
behavior,41,Educational_Factors
energy,41,
condition,40,Educational_Factors
plenty,40,Staff_and_Management_Factors
outing,40,Facility_Factors
lunch,40,Communication_Factors
example,40,Educational_Factors
information,40,Educational_Factors
phone,40,Facility_Factors
director,39,Educational_Factors
trust,39,Educational_Factors
mention,38,Educational_Factors
idea,38,Educational_Factors
diaper,38,Facility_Factors
eye,37,Safety_and_Health_Factors
matter,37,Educational_Factors
leader,37,Staff_and_Management_Factors
literacy,37,
curiosity,37,
theme,37,Educational_Factors
evening,36,
vibe,36,Communication_Factors
concept,36,Educational_Factors
potential,36,Educational_Factors
sister,36,Staff_and_Management_Factors
anxiety,35,Safety_and_Health_Factors
step,35,Educational_Factors
couple,35,Staff_and_Management_Factors
owner,35,Staff_and_Management_Factors
math,35,Educational_Factors
list,35,Communication_Factors
homework,35,Educational_Factors
preparation,34,Educational_Factors
showcase,34,Educational_Factors
message,34,Communication_Factors
drama,34,Educational_Factors
respect,34,
gourmet,34,
deposit,34,Educational_Factors
report,33,Educational_Factors
priority,33,
tip,33,Educational_Factors
name,33,Educational_Factors
regard,33,Staff_and_Management_Factors
mindset,32,
subject,32,Educational_Factors
practice,32,Educational_Factors
friendship,32,Communication_Factors
surprise,32,
premise,32,Educational_Factors
opinion,32,Educational_Factors
plan,31,
initiative,31,Educational_Factors
feeling,31,Staff_and_Management_Factors
operation,31,Staff_and_Management_Factors
