Preschool_Name,Comment,Sentiment,Noun,Word,Category
Agape Little Uni Thomson Centre,"My baby girl joined the centre when she was around 1yo, because my Indonesian helper injured her hand and we needed the extra help. I'm really grateful for all the help and love Agape provided for her and the family. They extended their help in applying for additional subsidy due to low income, with frequent updates on the progress and how my child was doing. The infant care was also well structured and my child grew smarter in her time there. I felt really supported in this time of difficulty. Agape was the nearest centre available to join on short notice without a waitlist of 2+ months, probably due to price, but it's really worth it.",0.1318181818181818,,help,Educational Resources and Materials
Agape Little Uni Jurong West Centre,send my qiqif.,0.0,,qiqif,
Agape Little Uni @ Kallang Pte Ltd,Great school. My son loves it here!,1.0,,school,Educational Institutions and Facilities
Agape Little Uni @ Kallang Pte Ltd, Very good and nice,0.7549999999999999,,-,
Agape Little Uni @ Clementi Pte Ltd,Very good quite place nice position and 🔕 …,0.7549999999999999,,position,
Agape Little Uni @ Cecil Pte Ltd,Decided to withdraw my baby after his first day as we decided he was incompatible with the teachers (bad crying even though it was just 2.5hrs in the school) but was still charged the full month amount with no room for negotiations to prorate the amount as I could not give the 14 day notice required in the contract. Just goes to show how much compassion the management actually has. Imagine paying a full month fee for only 2.5hrs of attendance because my baby was incompatible with the care provided by the centre.,0.03125000000000001,,baby,Students
Agape Little Uni @ Cecil Pte Ltd," Terrible attitude. Called to enquire about centre visit, am told that visiting hours are only between 1-2.30pm (kids' nap time). Asked if possible to view other times as classroom interaction and observation of the same would be important considerations for us in assessing a centre's suitability. Front desk person sounded she couldn't be bothered with the enquiry and flatly said they don't allow this (with no further follow up or alternative suggestion on how parents can go about getting more information on classroom dynamics and teacher interaction with students, etc.)",-0.027777777777777776,,centre,Educational Institutions and Facilities
Agape Little Uni @ Cecil Pte Ltd," said ""bye-bye"" on the phone and hung up promptly. TBH if this is the attitude that parents who are cold calling about the centre get,",-0.6,,phone,Educational Management and Organization
Agape Little Uni @ Cecil Pte Ltd,I can't imagine what the situation would be if there was a genuine issue with the centre with an enrolled child. Just terrible and lacking in compassion all round.,-0.26666666666666666,,situation,Educational Resources and Materials
Agape Child Care (CCK) Pte Ltd,"Worst ... principal money face. All the time short of Chinese teachers (no one want to stay long) and cooking auntie , teacher have to be cook and teach at same time, students wash plate themself ....",-0.21000000000000002,,time,
Agape Child Care (CCK) Pte Ltd," Last week,",0.0,,week,Time in Education
Agape Child Care (CCK) Pte Ltd,I visited the childcare centre and all the kids look happy. The childcare centre is built under a bomb shelter. It feels very safe!,0.80625,,childcare,
Adventure Tree Preschool - Holland,Excellent well run preschool with friendly & experienced teachers. The house is well setup inside for different age groups and with pedal karts outside for outdoor play.,0.43499999999999994,,teacher,Educational Roles
Adventure Tree Preschool - Holland,"Breakfast, lunch and snacks are covered by a daily menu.",0.0,,lunch,Food in Education
Adventure Tree Preschool - Holland,My kids have been happy here since starting. Long opening hours when needed. Happy to recommend!,0.4375,,kid,Students
Adventure Tree Preschool - Holland," We love Adventure Tree and the schooling environment it provides for our child. Nurturing, wholesome and friendly. The teachers have our children's best interests at heart and best part our little girl loves going to school every day! We could not have chosen a better school!",0.5442708333333334,,child,Students
Acekidz @ SG Pte Ltd (Yishun), Just joined a couple months back but we have encountered tons of problems!,0.0,,couple,Educational Management and Organization
