Comment,Sentiment,Topic_Number,Word,Preschool_Name
"""Deciding to send our kid to MindSpace @ Tai Seng, Grantral Mall was a game-changer; we were glad we made that decision. The dedication and hard work put in by the center managers and trainers is nothing short of remarkable. From coaching the kids to managing the center's operations, planning events, and keeping us informed about our child's progress, they handle it all with such finesse, it's like watching a well-oiled machine in action. Before MindSpace, our child seemed to exhibit learning challenges and behavioral hurdles: throwing tantrums when asked to do home work, unable to comprehend basic arithmetic, and disliking classes. We were pleasantly surprised that after going to MindSpace, he is actually looking forward to attend MindSpace. His attitude towards homework has improved, and he is showing significant improvement in behaviour. We were happy when the school teachers told us that they noticed an improvement with our child. It's got me thinking-if MindSpace can work wonders for our child, maybe they have a secret recipe for adults too. MindSpace, any chance of an adult program? Sign me up; I'm ready to experience that transformation firsthand!",0.09313725490196079,Topic 1,"['school', 'child', 'time', 'teacher', 'centre', 'day', 'parent', 'son', 'month', 'kid', 'bad', 'baby', 'principal', 'cry', 'send', 'like', 'know', 'money', 'enrol', 'feel']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"I am very happy with the service provided by MindSpace. My son loves it there, he’s always excited to go to MindSpace, he loves his teachers and I also see him more focused and improving in his studies since he started going to Mindspace. MindSpace provides a well rounded after school care to my son and I would highly recommend them.",0.50875,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"I'm glad that we made the right decision to send our daughter to MindSpace @Tai Seng after school care. Thanks to center Direct Ching Ching and Manager April.Their value advice and sharing regarding enroll our child to primary school really means a lot to me. My daughter likes here. I fetch her after 6pm everyday, she still says it's too early and she doesn't want to go home. She loves the trainers, as they亦师亦友.",0.16507936507936508,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
My child has been attending P4-5 English and Chinese weekend classes since last year. He had fun and enjoys his classes very much. Thank you for taking great care of him and encouraging him in his studies.,0.22666666666666668,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
The centre is well organised and teachers are friendly and knowledgeable. My kid is adapting well in the centre and would recommend anyone who is interested in signing up for Mindspace to consider this centre.,0.3125,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"Sending my niece to Mindspace@Tai Seng is the best education decision I have made! My niece (a typical heartlander) became more interactive, can articulate and express herself better. When I run into logistics coordination problems, the business owner, Ching & her team staff helped me with sincere and stress-free assistance with great initiative. It had helped me in dual capacity as in improving both education where I can focus on work concentration. Their enrichment are aligned with MOE and to my knowledge the only enrichment programme currently with PSLE results verified by KPMG in Singapore which is quality controlled. Many thanks & keep up with the great work :)",0.4277777777777778,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"We had a wonderful experience at Mindspace Tai Seng. The trainers are very dedicated in nurturing our son even though this is a after school care. The school work hand in hand with parents to optimize the on the learning environment for our son. It's sad that we had to leave due to relocation, but we are very much looking forward to put our son back upon return. Thank you all the trainers in MindSpace Tai Seng for providing a conducive environment for our son.",0.13916666666666666,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
My son had some difficulty to new environment and was not adapting well in previous school hence i chance upon and read up on MindSpace and decided to make the change midyear for my son. I was amazed by the professional teachers handling my son on his very 1st day. When i picked up my son he was already looking forward to go back to MindSpace the next day! Thanks to the awesome admin team and teachers for the great service! Highly recommended!!,0.271969696969697,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"I am glad that we decided to place our child in this Centre. The teachers are attentive and most importantly, they are trained on proper ways to handle children. I have my peace of mind placing them here. My child’s grade also show good improvement after joining the center. Thank you and pls keep it up!!",0.33482142857142855,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
MindSpace (Grantral Mall) provides a very nice and conducive environment for learning. The trainers are also prompt in providing updates on my son's progress. He is enjoying himself a lot in the centre and is doing well in terms of curriculum and homework. I would highly recommend parents to try out MindSpace!,0.49333333333333335,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"I would like to express my heartfelt gratitude to Mindspace for their outstanding dedication and commitment to taking care of my 2 children. Their tireless efforts to review homework with my children have reduced the amount of time and effort I need to spend on them after work. The art of learning and champion mindset programme teaches them life skills that they can apply in an evolving environment, beyond formal education years. They have provided a nurturing and safe environment for children to learn, grow and have fun.",0.325,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
My daughter used to dislike going to student care. She didn't like the teachers and centre that she used to attend. Until we switch over to mindspace at Grantral Mall (tai seng) The centre is very clean and organised. The teachers are friendly . My daughter totally love going to student care now. She will come home to share with me what she do in school. Teachers not only teaches in an interesting and interactive way. My daughter have so much fun . My daughter now become very organised and will love to do her homework . More discipline now too. Thank you so much to the teachers in mindspace,0.35516666666666674,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"I chanced upon this after school student care through a leaflet sent in my mailbox. Initially, I did not think very much about it till I met my sister who then just recovered from a nasty episode of COVID. I could see that she was definitely not as fit as before and on top of that, she shared that her grandson is attending several after school enrichment programmes in the week. Being the day carer for this boy, she has to make multiple trips per day. There I was looking at the leaflet for the second time that week and realised that this could solve some of the issues my sister was facing. I called up the centre and expressed my concern on behalf of my sister and Ms Ching Ching has been very attentive and empathetic of our situation. She assured me that her centre is able to help us overcome the challenges that we are facing. We attended the open house last December and we liked the place as the setup of the centre is conducive, is bright and the layout is fairly spacious. Everything in there are new as we understand the centre is at its start-up phase and most importantly, it is very convenient for us either by MRT or bus. Without much hesitation, we signed him up and since then, we have been in touch with the trainers, who are also very responsive with our queries and concerns on the day to day basis. The trainers update us frequently on his learning, behaviour as well as suggestions for areas of improvement which we can work with him at home. Due to the close working relationship between the trainers and us, we do see a significantly improvement in his social skills and his academic achievements. I did notice that he is now willing to work with a more challenging peer in this small group setting which otherwise he would avoid even being near to them in a school setting. This value is definitely very well inculcated and many thanks to the trainers in this centre who constantly remind them about peer inclusion and showing empathy towards others. Lastly, we really appreciated the variety of the lunch menu and the quality of the food. The picky eater (my grand nephew) is now open to eating out of his comfort zone. This is definitely a bonus for him and us. To date, we are pleased with his development and we will continue to work with the trainers for the betterment of him.",0.18973581973581974,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"Went to see the centre and it was so well organised and kept clean and spotless. As I am aware of the values that mindspace represents, I am convinced that this will be the place for my children to be at after school. Solves my issue of having to make sure that my children are well looked after and that they spend productive time after school.",0.37222222222222223,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
The systematic approach and caring demeanor of teachers provide a sense of reassurance to parents.,0.0,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"School is nice & clean. My son join about 4 months, can see my son have improving a lot. Recommom school😊☺️🤝 ",0.48333333333333334,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"Very clean and spacious environment, teachers are committed and knowledgeable. Super thumbs up!""",0.44666666666666666,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5
"""Overall is excellent, The team members are good and professional and friendly with the kids, Safe and clean environment for kids with high standards of education.",0.40020833333333333,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindChamps PreSchool @ Adda Heights
Best！！！,0.0,Topic 5,"['teacher', 'school', 'child', 'kid', 'care', 'good', 'love', 'thank', 'parent', 'principal', 'staff', 'learn', 'son', 'daughter', 'year', 'environment', 'great', 'preschool', 'ms', 'experience']",MindChamps PreSchool @ Adda Heights
"toddler empire""",0.0,Topic 1,"['school', 'child', 'time', 'teacher', 'centre', 'day', 'parent', 'son', 'month', 'kid', 'bad', 'baby', 'principal', 'cry', 'send', 'like', 'know', 'money', 'enrol', 'feel']",MindChamps PreSchool @ Adda Heights
