Preschool_Name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
7oaks Preschool - Bukit Batok,0.2516203703703704,0.2516203703703704,,,
Aaytozee @ Hillview,0.2697474747474748,-0.14451785714285714,,,
Ace @ Work Childcare (JE288B),0.28736111111111107,0.28096791374135127,,,
Ace @ Work Childcare Pte Ltd (703 Choa Chu Kang St 53),0.3387278561042118,0.36699479709161603,,0.10714285714285714,
Ace @ Work Childcare Pte Ltd (CCK 757),0.31161996544649606,0.3589484126984127,,0.26571428571428574,
Ace @ Work Childcare Pte Ltd (Cashew Heights),0.27985941633597883,0.35467802492618666,0.0,0.0,
Acekidz @ SG Pte Ltd (Yishun),,-0.07021464646464647,,,
Active Learners,,-0.016666666666666656,,,
Adventure Tree Preschool - Holland,0.4683854166666667,0.46838541666666667,,,
Agape Child Care (CCK) Pte Ltd,0.5375,0.03916666666666665,,,
Agape Little Uni @ Cecil Pte Ltd,,0.21977564102564098,,,
Agape Little Uni @ Clementi Pte Ltd,0.7549999999999999,,,,
Agape Little Uni @ Kallang Pte Ltd,,0.8775,,,
Agape Little Uni Jurong West Centre,,0.0,0.0,,
Agape Little Uni Thomson Centre,,0.1318181818181818,,,
Agape Little Uni. @ Gambas Pte Ltd,0.51,-0.115974025974026,,,
Al - Ansar Mosque Kindergarten,1.0,,,,
Al-Amin Education Pte Ltd,0.125,0.002485380116959067,,,
Ang Mo Kio Methodist Preschool,0.3787235654209339,0.4678954598033545,,,
Baby Elk Infant Care Singapore,0.0,0.3462790670146187,,,
Bedok Methodist Preschool SPARK Certification,0.3675763588263588,0.40193107546048723,0.0,,
Bethesda (Ang Mo Kio) Kindergarten,0.27757841269841266,0.1500914285714286,,,
Bethesda (Katong) Kindergarten,0.7211538461538461,0.0,0.0,,
Bethesda (Pasir Ris) Kindergarten,0.3964594041596701,0.26061971998308203,,,
Blossom Creative Centre (Bedok),0.3955871792990437,0.16962350421909247,,,
Blossom Discovery Centre (Serangoon),0.3124404761904762,0.19161734693877555,,,
Blossom Fantasia Centre (Loyang),,0.64375,,,
BlueTree Education (Choa Chu Kang),0.4195737595737596,0.7,,,
Bridging Stars Childcare Pte Ltd,0.44702292896325196,0.2083613639584622,,,
Bright Kids @ Jurong West Pte Ltd,0.7000000000000001,0.3499999999999999,,,
Bright Kids School House Pte Ltd (192 Punggol Central),0.3688686628186628,0.4922539399598223,,,
Brighton Montessori @ Crystal Court,0.6833333333333335,0.0045892790337234745,-0.06515151515151515,,
Brighton Montessori @ Kovan (Formerly known as Canberra Preschool),0.43427398989898985,,,,
Brighton Montessori Centres Pte Ltd (190 Ang Mo Kio Avenue 8),0.5295238095238095,0.53,,,
Brighton Montessori Centres Pte Ltd (Mountbatten),0.2422462406015038,-0.13333333333333333,,,
Brighton Montessori International Pre-School @ Frankel,,0.25057692307692303,,,
Brighton Montessori International Pre-School @ Sunset,0.4037037037037037,,,,
Bukit Panjang Methodist Church Kindergarten,0.5261363636363636,,,,
Busy Bees Singapore Pte Ltd (Small Wonder Anchorvale),0.36592592592592593,0.12820512820512822,,,
Calvary Pandan Kindergarten,0.36620370370370364,0.1825,,,
Cambridge @ Artra Alexandra,0.27791666666666665,0.28471320346320345,,,
Cambridge @ Dairy Farm,0.65,0.13,,,
Cambridge @ Fernvale Pte Ltd,0.22291666666666668,0.23232995179423752,,,
Cambridge @ Kingsford Waterbay Pte Ltd,0.3760097402597403,0.3020144638347763,,,
Cambridge @ MacPherson,0.3184325396825397,0.2399134007522075,,,
Cambridge @ Robertson,0.3852941176470588,0.6025,,,
Cambridge @ Serangoon Gardens Pte Ltd,0.3022779977458008,0.16680168919582647,0.10625000000000001,,
Camelot River Valley,0.3561796208841664,0.3739569870799185,,,
Carpe Diem @ 2 Ang Mo Kio Drive,0.6999999999999998,0.7,,,
Carpe Diem @ 78 Yio Chu Kang,0.2714388888888889,0.3229662619988707,,,
Carpe Diem @ Bukit Batok Central,1.0,0.4623511904761905,,,
Carpe Diem @ Fajar Road,,0.2091787439613527,,,
Carpe Diem @ Hilltop Pte Ltd,0.46778911564625847,0.2075566168556187,,,0.0
Carpe Diem @ Jurong Kechil,,0.11363636363636363,,,
Carpe Diem @ Parkway Centre Pte Ltd,0.3961498917748918,0.3666731859410431,,,
Carpe Diem @ Petir,0.35,0.10000000000000002,0.6,0.6,0.6
Carpe Diem Childcare Resort Pte Ltd,0.037500000000000006,0.037500000000000006,,,
Carpe Diem Schoolhouse Pte Ltd (5 Toh Yi Drive),0.30000000000000004,,,,
Carpe Diem Springs Preschool,0.4373522211915069,0.24245347996910496,,,
Carpe Diem Starlets 2,0.459375,0.00972222222222223,,,
Carpe Diem Starlets Sparkle Pte Ltd,0.277202380952381,,,,
Catholic Kindergarten,,0.20069444444444443,,,
Cavenur Kindergarten,0.5,,,,
Chatsworth Preschool - Clementi Woods,0.43924242424242427,0.20389807162534437,,,
Chatsworth Preschool - Piccadilly Campus,0.5004319638694639,0.47271334670231724,,,
Cherie Hearts @ Charlton Pte Ltd,0.3597665861392579,0.32567767433086114,,,
Child at Street 11,0.22100000000000003,-0.4949999999999999,,,
ChildFirst @ Mountbatten,0.418574725661935,0.16560984848484847,0.6499999999999999,,
Childfirst@Tampines Pte Ltd,0.5137254901960785,0.4055555555555555,,,
Children's Cove Preschool - Pasir Ris,0.40770833333333334,0.33347727272727273,,,
Children's Cove Preschool - Sembawang,0.3470278094225463,0.21126414943081612,,,
