Preschool_Name,Comment,Sentiment,Word,Category
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,"Deciding to send our kid to MindSpace @ Tai Seng,  Grantral Mall was a game-changer; we were glad we made that decision.  The dedication and hard work put in by the center managers and trainers is nothing short of remarkable. From coaching the kids to managing the center's operations, planning events, and keeping us informed about our child's progress, they handle it all with such finesse, it's like watching a well-oiled machine in action.  Before MindSpace, our child seemed to exhibit learning challenges and behavioral hurdles: throwing tantrums when asked to do home work, unable to comprehend basic arithmetic, and disliking classes.  We were pleasantly surprised that after going to MindSpace, he is actually looking forward to attend MindSpace. His attitude towards homework has improved, and he is showing significant improvement in behaviour. We were happy when the school teachers told us that they noticed an improvement with our child.  It's got me thinking-if MindSpace can work wonders for our child, maybe they have a secret recipe for adults too. MindSpace, any chance of an adult program? Sign me up; I'm ready to experience that transformation firsthand!",0.09313725490196079,child,Communication_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,"  I am very happy with the service provided by MindSpace. My son loves it there, he’s always excited to go to MindSpace, he loves his teachers and I also see him more focused and improving in his studies since he started going to Mindspace. MindSpace provides a well rounded after school care to my son and I would highly recommend them.",0.50875,son,Staff_and_Management_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,"  I'm glad that we made the right decision to send our daughter to MindSpace @Tai Seng after school care. Thanks to center Direct Ching Ching and Manager April.Their value advice and sharing  regarding enroll our child to primary school really means a lot to me. My daughter likes here. I fetch her after 6pm everyday, she still says it's too early and she doesn't want to go home. She loves  the trainers, as they亦师亦友.",0.16507936507936508,daughter,Staff_and_Management_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,  My child has been attending P4-5 English and Chinese weekend classes since last year. He had fun and enjoys his classes very much. Thank you for taking great care of him and encouraging him in his studies.,0.22666666666666668,class,Educational_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,  The centre is well organised and teachers are friendly and knowledgeable. My kid is adapting well in the centre and would recommend anyone who is interested in signing up for Mindspace to consider this centre.,0.3125,centre,Facility_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,"  Sending my niece to Mindspace@Tai Seng is the best education decision I have made!  My niece (a typical heartlander) became more interactive, can articulate and express herself better.  When I run into logistics coordination problems, the business owner,  Ching & her team staff helped me with sincere and stress-free assistance with great initiative. It had helped me in dual capacity as in improving both education where I can focus on work concentration.  Their enrichment  are aligned with MOE and to my knowledge the only enrichment programme  currently with PSLE results verified by KPMG in Singapore which is quality controlled.  Many thanks & keep up with the great work :)",0.4277777777777778,niece,Staff_and_Management_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,  MindSpace (Grantral Mall) provides a very nice and conducive environment for learning. The trainers are also prompt in providing updates on my son's progress.  He is enjoying himself a lot in the centre and is doing well in terms of curriculum and homework. I would highly recommend parents to try out MindSpace!,0.49333333333333335,environment,Facility_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,  The systematic approach and caring demeanor of teachers provide a sense of reassurance to parents.,0.0,approach,Educational_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,"  School is nice & clean. My son join about 4 months, can see my son have improving a lot. Recommom school😊☺️🤝 …,",0.48333333333333334,school,Facility_Factors
MindChamps PreSchool @ Adda Heights,"Overall is excellent,  The team members are good and professional and friendly with the kids,  Safe and clean environment for kids with high standards of education.",0.40020833333333333,kid,Communication_Factors
